GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
converter,com.example,TemperatureConverter,0,35,0,4,0,5,0,7,0,5
converter,com.example,MariaDBExample,50,0,2,0,16,0,3,0,2,0
